group_name,problem_id,expected,predicted,correct,is_correct_str
Baseline,test/precalculus/807.json,"\left( 3, \frac{\pi}{2} \right)","(3, \frac{\pi}{2})",True,正确
Baseline,test/intermediate_algebra/1994.json,p - q,,False,错误
Baseline,test/algebra/2584.json,\frac{14}{3},\dfrac{14}{3},False,错误
Baseline,test/number_theory/572.json,9,9,True,正确
Baseline,test/algebra/1349.json,\text{Evelyn},Evelyn,False,错误
Baseline,test/prealgebra/1622.json,42,42,True,正确
Baseline,test/number_theory/515.json,27,27,True,正确
Baseline,test/precalculus/927.json,90^\circ,90,False,错误
Baseline,test/algebra/2036.json,3\sqrt{13},3\sqrt{13},True,正确
Baseline,test/prealgebra/1139.json,4,,False,错误
Baseline,test/number_theory/1032.json,2220,,False,错误
Baseline,test/intermediate_algebra/1197.json,\frac{3}{56},,False,错误
Baseline,test/number_theory/737.json,284,284,True,正确
Baseline,test/geometry/248.json,5,5,True,正确
Baseline,test/precalculus/1303.json,\sqrt{51},\sqrt{51},True,正确
Baseline,test/precalculus/990.json,6 - 5i,6 - 5i,True,正确
Baseline,test/intermediate_algebra/134.json,-50,-50,True,正确
Baseline,test/precalculus/1199.json,\pi,,False,错误
Baseline,test/geometry/434.json,28,,False,错误
Baseline,test/intermediate_algebra/1000.json,3,3,True,正确
Baseline,test/algebra/1098.json,6+9i,6 + 9i,True,正确
Baseline,test/intermediate_algebra/607.json,13535,,False,错误
Baseline,test/algebra/1837.json,5,5,True,正确
Baseline,test/algebra/2193.json,x=5,5,False,错误
Baseline,test/algebra/2427.json,10,10,True,正确
Baseline,test/intermediate_algebra/1388.json,"1,-2",,False,错误
Baseline,test/counting_and_probability/525.json,144,,False,错误
Baseline,test/prealgebra/1840.json,78,78,True,正确
Baseline,test/precalculus/779.json,-2 + 7i,-2 + 7i,True,正确
Baseline,test/counting_and_probability/666.json,225,225,True,正确
Baseline,test/number_theory/864.json,52_8,52_8,True,正确
Baseline,test/prealgebra/1302.json,11\sqrt2,11\sqrt{2},False,错误
Continuous,test/precalculus/807.json,"\left( 3, \frac{\pi}{2} \right)","(3, \pi/2)",False,错误
Continuous,test/intermediate_algebra/1994.json,p - q,p - q,True,正确
Continuous,test/algebra/2584.json,\frac{14}{3},\frac{14}{3},True,正确
Continuous,test/number_theory/572.json,9,9,True,正确
Continuous,test/algebra/1349.json,\text{Evelyn},Evelyn,False,错误
Continuous,test/prealgebra/1622.json,42,42,True,正确
Continuous,test/number_theory/515.json,27,27,True,正确
Continuous,test/precalculus/927.json,90^\circ,,False,错误
Continuous,test/algebra/2036.json,3\sqrt{13},6\sqrt{2},False,错误
Continuous,test/prealgebra/1139.json,4,,False,错误
Continuous,test/number_theory/1032.json,2220,,False,错误
Continuous,test/intermediate_algebra/1197.json,\frac{3}{56},,False,错误
Continuous,test/number_theory/737.json,284,284,True,正确
Continuous,test/geometry/248.json,5,5,True,正确
Continuous,test/precalculus/1303.json,\sqrt{51},\sqrt{51},True,正确
Continuous,test/precalculus/990.json,6 - 5i,,False,错误
Continuous,test/intermediate_algebra/134.json,-50,-50,True,正确
Continuous,test/precalculus/1199.json,\pi,\pi,True,正确
Continuous,test/geometry/434.json,28,,False,错误
Continuous,test/intermediate_algebra/1000.json,3,,False,错误
Continuous,test/algebra/1098.json,6+9i,6 + 9i,True,正确
Continuous,test/intermediate_algebra/607.json,13535,,False,错误
Continuous,test/algebra/1837.json,5,5,True,正确
Continuous,test/algebra/2193.json,x=5,5,False,错误
Continuous,test/algebra/2427.json,10,,False,错误
Continuous,test/intermediate_algebra/1388.json,"1,-2","-2,1",False,错误
Continuous,test/counting_and_probability/525.json,144,,False,错误
Continuous,test/prealgebra/1840.json,78,78,True,正确
Continuous,test/precalculus/779.json,-2 + 7i,-2 + 7i,True,正确
Continuous,test/counting_and_probability/666.json,225,225,True,正确
Continuous,test/number_theory/864.json,52_8,52,False,错误
Continuous,test/prealgebra/1302.json,11\sqrt2,11\sqrt{2},False,错误
Dynamic_Spherical,test/precalculus/807.json,"\left( 3, \frac{\pi}{2} \right)","(3, \frac{\pi}{2})",True,正确
Dynamic_Spherical,test/intermediate_algebra/1994.json,p - q,p - q,True,正确
Dynamic_Spherical,test/algebra/2584.json,\frac{14}{3},\dfrac{14}{3},False,错误
Dynamic_Spherical,test/number_theory/572.json,9,9,True,正确
Dynamic_Spherical,test/algebra/1349.json,\text{Evelyn},Evelyn,False,错误
Dynamic_Spherical,test/prealgebra/1622.json,42,42,True,正确
Dynamic_Spherical,test/number_theory/515.json,27,27,True,正确
Dynamic_Spherical,test/precalculus/927.json,90^\circ,90,False,错误
Dynamic_Spherical,test/algebra/2036.json,3\sqrt{13},3\sqrt{13},True,正确
Dynamic_Spherical,test/prealgebra/1139.json,4,4,True,正确
Dynamic_Spherical,test/number_theory/1032.json,2220,,False,错误
Dynamic_Spherical,test/intermediate_algebra/1197.json,\frac{3}{56},,False,错误
Dynamic_Spherical,test/number_theory/737.json,284,284,True,正确
Dynamic_Spherical,test/geometry/248.json,5,5,True,正确
Dynamic_Spherical,test/precalculus/1303.json,\sqrt{51},\sqrt{51},True,正确
Dynamic_Spherical,test/precalculus/990.json,6 - 5i,6 - 5i,True,正确
Dynamic_Spherical,test/intermediate_algebra/134.json,-50,-50,True,正确
Dynamic_Spherical,test/precalculus/1199.json,\pi,\pi,True,正确
Dynamic_Spherical,test/geometry/434.json,28,,False,错误
Dynamic_Spherical,test/intermediate_algebra/1000.json,3,3,True,正确
Dynamic_Spherical,test/algebra/1098.json,6+9i,6 + 9i,True,正确
Dynamic_Spherical,test/intermediate_algebra/607.json,13535,,False,错误
Dynamic_Spherical,test/algebra/1837.json,5,5,True,正确
Dynamic_Spherical,test/algebra/2193.json,x=5,5,False,错误
Dynamic_Spherical,test/algebra/2427.json,10,10,True,正确
Dynamic_Spherical,test/intermediate_algebra/1388.json,"1,-2",1,False,错误
Dynamic_Spherical,test/counting_and_probability/525.json,144,,False,错误
Dynamic_Spherical,test/prealgebra/1840.json,78,78,True,正确
Dynamic_Spherical,test/precalculus/779.json,-2 + 7i,-2 + 7i,True,正确
Dynamic_Spherical,test/counting_and_probability/666.json,225,225,True,正确
Dynamic_Spherical,test/number_theory/864.json,52_8,52,False,错误
Dynamic_Spherical,test/prealgebra/1302.json,11\sqrt2,11\sqrt{2},False,错误
